Task,Function
resize an image,"def resize(img, scale):
    return cv2.resize(img, None, fx=scale, fy=scale, interpolation=cv2.INTER_CUBIC)"
enlarge a picture to twice its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
enlarge a picture to twice its size ,"def resize_image(image):
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
enlarge a picture to twice its size ,"def resize_image(image):
    # get the width and height of the image
    width, height = image.size

    # create a new image twice the size
    result = Image.new(image.mode, (width * 2, height * 2))

    # loop over all pixels
    for x in range(width):
        for y in range(height):
            # get the pixel
            pixel = image.getpixel((x, y))

            # resize the pixel
            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    # return the new image
    return result
"
enlarge a picture to twice its size ,"def resize_image(image):
    """"""
    enlarge an image to twice its size 
    """"""
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
enlarge a picture to twice its size ,"def resize_image(image):
    #image = Image.open(image)
    img = np.asarray(image)
    x,y,z = img.shape
    img2 = np.zeros((x*2,y*2,z))
    for i in range(x):
        for j in range(y):
            for k in range(z):
                img2[2*i,2*j,k] = img[i,j,k]
                img2[2*i+1,2*j,k] = img[i,j,k]
                img2[2*i,2*j+1,k] = img[i,j,k]
                img2[2*i+1,2*j+1,k] = img[i,j,k]
    #plt.imshow(img2)
    #plt.show()
    return img2
"
enlarge a picture to twice its size ,"def resize_image(image):
    """"""
    resize an image to twice its size and return it
    """"""
    img = img.resize((img.size[0]*2, img.size[1]*2))
    return img
"
enlarge a picture to twice its size ,"def resize_image(img):
        # get the size of the image
        (h,w) = img.shape[:2]

        # define the output image
        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        # for every pixel in the image
        for i in range(0,h):
                for j in range(0,w):
                        # get the pixel value
                        pixel = img[i,j]
                        # assign the pixel value to 4 pixels in the output image
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
enlarge an image to double its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
enlarge an image to double its size ,"def resize_image(image):
    """"""
    enlarge an image to twice its size 
    """"""
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
enlarge an image to double its size ,"def resize_image(image):
    # get the width and height of the image
    width, height = image.size

    # create a new image twice the size
    result = Image.new(image.mode, (width * 2, height * 2))

    # loop over all pixels
    for x in range(width):
        for y in range(height):
            # get the pixel
            pixel = image.getpixel((x, y))

            # resize the pixel
            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    # return the new image
    return result
"
enlarge an image to double its size ,"def resize_image(img):
        # get the size of the image
        (h,w) = img.shape[:2]

        # define the output image
        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        # for every pixel in the image
        for i in range(0,h):
                for j in range(0,w):
                        # get the pixel value
                        pixel = img[i,j]
                        # assign the pixel value to 4 pixels in the output image
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
resize an image to double its shape,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
resize an image to double its shape,"def resize_image(image):
    """"""
    enlarge an image to twice its size 
    """"""
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
resize an image to double its shape,"def resize_image(image):
    # get the width and height of the image
    width, height = image.size

    # create a new image twice the size
    result = Image.new(image.mode, (width * 2, height * 2))

    # loop over all pixels
    for x in range(width):
        for y in range(height):
            # get the pixel
            pixel = image.getpixel((x, y))

            # resize the pixel
            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    # return the new image
    return result
"
resize an image to double its shape,"def resize_image(image):
    """"""
    enlarge an image to twice its size 
    """"""
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
