,Task,Function
0,resize an image,"def resize(img, scale):
    return cv2.resize(img, None, fx=scale, fy=scale, interpolation=cv2.INTER_CUBIC)"
1,enlarge a picture to twice its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
2,enlarge a picture to twice its size ,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
3,enlarge a picture to twice its size ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
4,enlarge a picture to twice its size ,"def resize_image(image):
   
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
5,enlarge a picture to twice its size ,"def resize_image(image):
    img = np.asarray(image)
    x,y,z = img.shape
    img2 = np.zeros((x*2,y*2,z))
    for i in range(x):
        for j in range(y):
            for k in range(z):
                img2[2*i,2*j,k] = img[i,j,k]
                img2[2*i+1,2*j,k] = img[i,j,k]
                img2[2*i,2*j+1,k] = img[i,j,k]
                img2[2*i+1,2*j+1,k] = img[i,j,k]
    return img2
"
6,enlarge a picture to twice its size ,"def resize_image(image):
   
    img = img.resize((img.size[0]*2, img.size[1]*2))
    return img
"
7,enlarge a picture to twice its size ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
8,enlarge an image to double its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
9,enlarge an image to double its size ,"def resize_image(image):
   
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
10,enlarge an image to double its size ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
11,enlarge an image to double its size ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
12,resize an image to double its shape,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
13,resize an image to double its shape,"def resize_image(image):
   
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
14,resize an image to double its shape,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
15,resize an image to double its shape,"def resize_image(image):
   
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
16,resize an image to double its shape,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
17,resize a picture to twice its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
18,resize a picture to twice its size ,"def resize_image(image):
   
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
19,resize a picture to twice its size ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
20,resize a picture to twice its size ,"def resize_image(image):
   
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
21,resize a picture to twice its size ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
22,twice the size of a picture ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
23,twice the size of a picture ,"def resize_image(image):
   
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
24,twice the size of a picture ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
25,twice the size of a picture ,"def resize_image(image):
   
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
26,twice the size of a picture ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
27,"To double an image's shape, enlarge it. ","def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
28,"To double an image's shape, enlarge it. ","def resize_image(image):
   
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
29,"To double an image's shape, enlarge it. ","def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
30,"To double an image's shape, enlarge it. ","def resize_image(image):
   
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
31,"To double an image's shape, enlarge it. ","def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
32,Double the size of a picture. ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
33,Double the size of a picture. ,"def resize_image(image):
   
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
34,Double the size of a picture. ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
35,Double the size of a picture. ,"def resize_image(image):
   
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
36,Double the size of a picture. ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
37,enlarge a photo so that it's twice as big. ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
38,enlarge a photo so that it's twice as big. ,"def resize_image(image):
   
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image
"
